Scenario ID,Suite,Title,Description,Preconditions,Priority,Severity,Type,Behavior,Automation,Status,Layer,Steps_type,Steps_actions,Steps_result,Steps_data
ER-5,Manajer HRD,Verify User Dapat Mengatur Jadwal Wawancara Kandidat,User dapat mengatur jadwal wawancara,User login dan berada di halaman utama,Medium,Medium,Other,Positive,Is-not-automated,Actual,Unknown,Classic,"1. ""user membuka Halaman Wawancara""","1. ""Halaman Wawancara Muncul""","1. """""
,,,,,,,,,,,,,"2. ""klik tombol Atur Jadwal""","2. ""Mengarah pada Halaman Atur Jadwal""","2. """""
,,,,,,,,,,,,,"3. ""Input tanggal wawancara dan lokasi wawancara""","3. ""user dapat menginput tanggal wawancara dan lokasi wawancara""","3. ""tanggal wawancara : current date \nlokasi wawancara : WFH(online)"""
,,,,,,,,,,,,,"4. ""Klik Selanjutnya""","4. ""Halaman mengarah pada Halaman Wawancara dan Jadwal Wawancara yang telah diinput, akan muncul""","4. """""
ER-6,Manajer HRD,Verify User Dapat Menggagalkan Kandidat,User dapat melihat Data pelamar dan menggagalkan kandidat yang dipilih,User login dan mengakses halaman utama pada website www.erecruitment.com,High,High,Functional,Negative,Is-not-automated,Actual,E2e,Classic,"1. ""klik menu Seleksi Kandidat pada dashboard""","1. ""user dapat masuk ke halaman Seleksi Kandidat dan dapat list kandidat""","1. """""
,,,,,,,,,,,,,"2. ""klik Rejected pada salah satu kandidat""","2. ""terdapat notikasi \""kandidat Anjani tidak lolos kedalam tahap selanjutnya\""""","2. ""Kandidat: Anjani"""
,,,,,,,,,,,,,"3. ""Klik OK pada notifikasi yang muncul""","3. ""halaman mengarah pada Seleksi Kandidat, dan status kandidat berubah menjadi Lolos Seleksi Awal""","3. """""
ER-7,Manajer HRD,Verify User Dapat Meloloskan Kandidat,User dapat meloloskan kandidat yang dipilih,User login dan mengakses halaman utama pada website www.erecruitment.com,High,High,Functional,Positive,Is-not-automated,Actual,E2e,Classic,"1. ""klik menu Seleksi Kandidat pada dashboard""","1. ""user dapat masuk ke halaman Seleksi Kandidat dan dapat list kandidat""","1. """""
,,,,,,,,,,,,,"2. ""klik Approved pada salah satu kandidat""","2. ""terdapat notikasi \""kandidat Anjani lolos dan masuk kedalam tahap selanjutnya\""""","2. ""kandidat : anjani"""
,,,,,,,,,,,,,"3. ""klik OK pada Notifikasi""","3. ""halaman mengarah pada Seleksi Kandidat, dan status kandidat berubah menjadi Lolos Seleksi Awal""","3. """""
ER-8,Manajer HRD,Verify User Dapat Membuat dan mengirim Offering letter,Verify User Dapat Membuat dan mengirim Offering letter,User telah login dan masuk ke website www.erecruitment.com,High,High,Other,Positive,Is-not-automated,Actual,Unknown,Classic,"1. ""user membuka Halaman Offering pada menu utama""","1. ""Halaman Offering Muncul""","1. """""
,,,,,,,,,,,,,"2. ""Klik buat offering""","2. ""Mengarah pada Halaman buat offering""","2. """""
,,,,,,,,,,,,,"3. ""Input data offering""","3. ""User dapat menginput offering""","3. """""
,,,,,,,,,,,,,"4. ""Input nama kandidat""","4. ""nama kandidat yang muncul adalah kandidat yang telah lolos tahap test challlenge""","4. """""
,,,,,,,,,,,,,"5. ""Klik Tombol Submit""","5. ""1. Halaman mengarah kepada Halaman Offering \n2. Nama yang diberi offering akan muncul\n3. Kandidat akan mendapatkan email""","5. ""email kandidat: kandidat@gmail.com \npassword: test123"""
ER-9,Staf Rekruitmen,Verify Sukses Login,User dapat login ke dalam website www.erecruitment.com,User sudah memiliki akun,High,High,Functional,Positive,Is-not-automated,Actual,E2e,Classic,"1. ""user mengakses website www.erecruitment.com""","1. ""halaman utama tampil""","1. ""www.erecruitment.com"""
,,,,,,,,,,,,,"2. ""Klik menu login""","2. ""halaman login muncul""","2. """""
,,,,,,,,,,,,,"3. ""user login dengan akun yang telah terdaftar""","3. ""1. Halaman mengarah pada Halaman Utama\n\n2\\. Terdapat foto profil dipojok halaman""","3. ""user: staf@gmail.com\npassword: test123"""
ER-10,Staf Rekruitmen,Verify Gagal Login,User tidak dapat login ke dalam website www.erecruitment.com,User tidak memiliki akun,High,High,Functional,Negative,Is-not-automated,Actual,E2e,Classic,"1. ""user mengakses website www.erecruitment.com""","1. ""halaman utama muncul""","1. ""www.erecruitment.com"""
,,,,,,,,,,,,,"2. ""klik menu login""","2. ""halaman login muncul""","2. """""
,,,,,,,,,,,,,"3. ""user login dengan akun yang belum terdaftar""","3. ""terdapat notifikasi \""Login gagal, masukkan username dan password dengan benar\""""","3. ""user: unknown@gmail.com\npassword: test123"""
ER-11,Staf Rekruitmen,Verify User Dapat Melamar Pekerjaan,User dapat melamar pekerjaan dengan memasukan Data diri pelamar,User login dan mengakses halaman utama pada website www.erecruitment.com,High,High,Functional,Positive,Is-not-automated,Actual,E2e,Classic,"1. ""klik menu Kategori Job pada dashboard""","1. ""user dapat masuk ke halaman kategori job dan terdapat list job""","1. """""
,,,,,,,,,,,,,"2. ""klik salah satu job dan Klik Lamar""","2. ""Halaman akan mengarah ke halaman Lamar Posisi QA""","2. ""pilih posisi QA"""
,,,,,,,,,,,,,"3. ""Masukkan data""","3. ""Data dapat diinput""","3. """""
,,,,,,,,,,,,,"4. ""Klik Submit""","4. ""1. Mendapatkan notifikasi \""data terlah tersubmit""","4. """""
,,,,,,,,,,,,,"5. ""Klik OK pada notifikasi""","5. ""halaman mengarah pada Halaman Lowongan kerja dan status berubah menjadi \""telah dilamar\""""","5. """""
ER-12,Staf Rekruitmen,Verify User Dapat melihat data Kandidat,User dapat melihat Data pelamar dan status kandidat,User login dan mengakses halaman utama pada website www.erecruitment.com,Medium,Medium,Functional,Positive,Is-not-automated,Actual,E2e,Classic,"1. ""klik menu Seleksi Kandidat pada dashboard""","1. ""user dapat masuk ke halaman Seleksi Kandidat dan terdapat list kandidat""","1. """""
,,,,,,,,,,,,,"2. ""klik salah satu nama kandidat""","2. ""Halaman akan mengarah ke CV kandidat""","2. ""pilih kandidat bernama Anjani"""
,,,,,,,,,,,,,"3. ""Cek Status Kandidat""","3. ""Halaman akan mengarah ke CV kandidat dan terdapat Status Kandidat""","3. ""Status Kandidat\n\n1. Seleksi awal - Lolos\/Tidak Lolos\n2. Interview - Lolos\/Tidak Lolos\n3. Technical Challange - Lolos\/Tidak Lolos\n4. Offering - Lolos\/Tidak Lolos\n5. Karyawan"""
,,,,,,,,,,,,,"4. ""Cek Informasi pribadi kandidat""","4. ""informasi pribadi muncul dihalaman seleksi awal""","4. ""Nama depan: Anjani\nnama belakang: Arum\ntempat tanggal lahir : Jakarta, 04 Mei 1990\njenis kelamin : perempuan\nno.hp: 08123456789\nemail: anjani@gmail.com"""
,,,,,,,,,,,,,"5. ""Cek riwayat pendidikan kandidat""","5. ""riwayat pendidikan muncul dihalaman seleksi awal""","5. ""SMA: SMAN 1 Jakarta - 2018\nuniversitas: Universitas Indonesia - 2023"""
,,,,,,,,,,,,,"6. ""Cek pengalaman kerja kandidat""","6. ""pengalaman kerja muncul dihalaman seleksi awal""","6. ""PT Sentosa Raya - 2019\n1\\. Test\\, debug code and meeting quality checks before deployment\n2\\. Do non\\-functional tests \\(load testing\\, stress testing\\, etc\\)\n3\\. Make automation test scripts"""
,,,,,,,,,,,,,"7. ""klik Download CV""","7. ""user dapat mendownload CV kandidat dalam bentu PDF""","7. """""
ER-13,Staf Rekruitmen,Verify User Dapat Membuat Pertanyaan Soal,User dapat membuat daftar pertanyaan untuk technical challenge,User telah login dan,Medium,Medium,Other,Positive,Is-not-automated,Actual,Unknown,Classic,"1. ""user membuka Halaman technical challenge pada menu utama""","1. ""Halaman technical challenge Muncul""","1. """""
,,,,,,,,,,,,,"2. ""Klik Input Pertanyaan""","2. ""Mengarah pada Halaman Input Pertanyaan""","2. """""
,,,,,,,,,,,,,"3. ""Input Pertanyaan pertama""","3. ""User dapat menginput pertanyaan""","3. """""
,,,,,,,,,,,,,"4. ""Klik tombol (+)""","4. ""Memunculkan Field baru untuk menambah jumlah pertanyaan""","4. """""
,,,,,,,,,,,,,"5. ""Input Pertanyaan kedua""","5. ""User dapat menginput pertanyaan""","5. """""
,,,,,,,,,,,,,"6. ""Klik Tombol Submit""","6. ""Halaman mengarah kepada Halaman technical challenge dan Pertanyaan yang sudah diinput akan muncul""","6. """""
ER-14,Administrator,Verify Sukses Login,User dapat login ke dalam website www.erecruitment.com,User sudah memiliki akun,High,High,Functional,Positive,Is-not-automated,Actual,E2e,Classic,"1. ""user mengakses website www.erecruitment.com""","1. ""halaman utama tampil""","1. ""www.erecruitment.com"""
,,,,,,,,,,,,,"2. ""Klik menu login""","2. ""halaman login muncul""","2. """""
,,,,,,,,,,,,,"3. ""user login dengan akun yang telah terdaftar""","3. ""1. Halaman mengarah pada Halaman Utama\n\n2\\. Terdapat foto profil dipojok halaman""","3. ""user: admin@gmail.com\npassword: test123"""
ER-15,Administrator,Verify Gagal Login,User tidak dapat login ke dalam website www.erecruitment.com,User tidak memiliki akun,High,High,Functional,Negative,Is-not-automated,Actual,E2e,Classic,"1. ""user mengakses website www.erecruitment.com""","1. ""halaman utama muncul""","1. ""www.erecruitment.com"""
,,,,,,,,,,,,,"2. ""klik menu login""","2. ""halaman login muncul""","2. """""
,,,,,,,,,,,,,"3. ""user login dengan akun yang belum terdaftar""","3. ""terdapat notifikasi \""Login gagal, masukkan username dan password dengan benar\""""","3. ""user: unknown@gmail.com\npassword: test123"""
ER-16,Administrator,Verify user dapat membuat data karyawan,User dapat memasukan data karyawan,User login dengan email administrator dan mengakses halaman utama www.erecruitmen.com,High,High,Functional,Positive,Is-not-automated,Actual,E2e,Classic,"1. ""user memilih menu Data Karyawan""","1. ""halaman mengarah kepada halaman Data Karyawan dan terdapat list karyawan baru""","1. """""
,,,,,,,,,,,,,"2. ""klik salah satu nama karyawan baru""","2. ""halaman akan mengarah pada halaman edit data karyawan""","2. ""pilih anjani"""
,,,,,,,,,,,,,"3. ""masukkan data karyawan baru""","3. ""user dapat memasukkan data""","3. ""Nomor Induk Karyawan (NIK): 192837893\ngaji: 8.000.000\nbenefit: thr, bpjs\nnpwp: 840-1319-u492\nrekening bank: 183948928202849\\`"""
,,,,,,,,,,,,,"4. ""klik submit""","4. ""terdapat notifikasi \""apakah data sudah benar\""""","4. """""
,,,,,,,,,,,,,"5. ""klik OK""","5. ""halaman mengarah pada Data Karyawan dan kandidat Anjani mendapatkan updatean""","5. """""
,,,,,,,,,,,,,,,
